control_period,penalty,parameters_idx,deficit_cost,total_leaching_gN_per_m2,violated
3.0,0.20126710688876742,289.0,0.00696772151023818,7.965532312271091e-06,0.0
3.0,0.20126710688876742,290.0,0.0,0.0490169824340074,1.0
3.0,0.20126710688876742,291.0,0.0005687152417171617,0.04321083517736292,1.0
3.0,0.20126710688876742,292.0,0.0009478901850826772,0.04969069957754349,1.0
3.0,0.20126710688876742,293.0,0.0042836809892530196,0.007443868314910743,0.0
3.0,0.20126710688876742,294.0,0.0,0.14632483058589243,1.0
3.0,0.20126710688876742,295.0,0.00212841106837063,2.7420590316527348e-05,0.0
3.0,0.20126710688876742,296.0,7.371148096818107e-06,0.0002959429171007809,1.0
3.0,0.20126710688876742,297.0,0.0007317361346876014,0.0006933796423170239,1.0
3.0,0.20126710688876742,298.0,0.006802002663443985,1.10489051257875e-06,0.0
3.0,0.20126710688876742,299.0,0.0006374319661599019,0.16598469020156392,1.0
3.0,0.20126710688876742,300.0,0.004412876902516029,0.0,0.0
3.0,0.20126710688876742,301.0,0.006894410123917932,0.0,0.0
3.0,0.20126710688876742,302.0,0.0009385413187480002,0.005208376866903876,1.0
3.0,0.20126710688876742,303.0,0.0,0.5689227611726612,1.0
3.0,0.20126710688876742,304.0,0.004180060547276184,0.01932981979546995,0.0
3.0,0.20126710688876742,305.0,0.0001834529905925413,0.008531586529555163,1.0
3.0,0.20126710688876742,306.0,0.007211954637901844,0.0003331382523390288,0.0
3.0,0.20126710688876742,307.0,0.007261799678318783,0.0,0.0
3.0,0.20126710688876742,308.0,0.00047209902476545257,0.2134844436959578,1.0
3.0,0.20126710688876742,309.0,0.001194095365319518,3.7013098186431646,1.0
3.0,0.20126710688876742,310.0,0.0038507910955043454,8.082029764275876e-05,0.0
3.0,0.20126710688876742,311.0,0.0005041624503735808,0.0021890521091479883,1.0
3.0,0.20126710688876742,312.0,0.0042148812376931605,0.0,0.0
3.0,0.20126710688876742,313.0,0.0019400161196652722,0.005235338360955178,1.0
3.0,0.20126710688876742,314.0,0.004214634613796571,0.0,0.0
3.0,0.20126710688876742,315.0,4.564568615605881e-05,0.3815188440869199,1.0
3.0,0.20126710688876742,316.0,0.00014696860532862374,0.012612976580833853,1.0
3.0,0.20126710688876742,317.0,0.0011852355227809418,5.307209291830629e-05,1.0
3.0,0.20126710688876742,318.0,0.0026334741249654323,2.149116707011564,1.0
3.0,0.20126710688876742,319.0,0.004195845677813096,2.4297573763862015e-05,0.0
3.0,0.20126710688876742,320.0,0.000585748833569059,0.43646603508185106,1.0
3.0,0.20126710688876742,321.0,0.0007848264742188029,0.014519677299498374,1.0
3.0,0.20126710688876742,322.0,0.0010243762046621113,0.24353819314752312,1.0
3.0,0.20126710688876742,323.0,0.002407571313141817,0.0,0.0
3.0,0.20126710688876742,324.0,0.007206587143237398,0.0,0.0
3.0,0.20126710688876742,325.0,0.006492798588132422,5.338373485377363e-06,0.0
3.0,0.20126710688876742,326.0,0.004072306700253045,0.00037122983553901557,0.0
3.0,0.20126710688876742,327.0,0.000477129415838348,0.08894963618503883,1.0
3.0,0.20126710688876742,328.0,0.0022008062707363565,0.011843718708343755,0.0
3.0,0.20126710688876742,329.0,0.000693614545440623,0.0052765710170984345,1.0
3.0,0.20126710688876742,330.0,0.004119912464472641,0.0004138573232426269,0.0
3.0,0.20126710688876742,331.0,0.004585763167264555,0.0,0.0
3.0,0.20126710688876742,332.0,0.0021066962578534802,0.11909828781839767,1.0
3.0,0.20126710688876742,333.0,0.0012329852063110904,0.000128101308432419,1.0
3.0,0.20126710688876742,334.0,0.0,0.08344024333914758,1.0
3.0,0.20126710688876742,335.0,1.9597289737470506e-05,0.008542467347994596,1.0
3.0,0.20126710688876742,336.0,0.004089069710851665,2.6357427492054796e-06,0.0
3.0,0.20126710688876742,337.0,0.00024170320672106622,0.004809081474518637,1.0
3.0,0.20126710688876742,338.0,0.004029744950499923,0.00021659621337351455,0.0
3.0,0.20126710688876742,339.0,2.328629431914122e-05,0.3958250280449692,1.0
3.0,0.20126710688876742,340.0,0.004573511941356526,0.0,0.0
3.0,0.20126710688876742,341.0,0.004515884440424903,0.0,0.0
3.0,0.20126710688876742,342.0,0.0041799485970527624,4.320558474640174e-05,0.0
3.0,0.20126710688876742,343.0,0.010053904104325329,0.001397927267983839,0.0
3.0,0.20126710688876742,344.0,0.00014062352154482562,0.004052023549867048,1.0
3.0,0.20126710688876742,345.0,0.0006028639156574345,0.024417307234732226,1.0
3.0,0.20126710688876742,346.0,0.0009596883179084707,0.0005163035999169198,1.0
3.0,0.20126710688876742,347.0,0.007155971440525336,0.0,0.0
3.0,0.20126710688876742,348.0,0.004458994051104736,0.0,0.0
3.0,0.20126710688876742,349.0,0.0008986833013088663,0.0008352867238398323,1.0
3.0,0.20126710688876742,350.0,0.002250291676401231,4.008087403789125e-05,0.0
3.0,0.20126710688876742,351.0,0.0004158721875885349,5.7945701339692475,1.0
3.0,0.20126710688876742,352.0,0.0022773117610658555,0.0,0.0
